"","ID","country","secano.area","total.area","secano.pct","mirca.start","mirca.end","N.app.0d","N.app.40d","Coincidencias","New_FPU","NFPU_INT","New_Basin","Basin_Name","Region","elev","variedad.1","SecondAppDay","NOM_MUNICI","NOMBRE_DPT"
"1","1888","Colombia",10373.8,10373.8,100,76,166,57.6453018188477,NA,1888,"NWS_COL",183,"NWS","Northwest_South_America","AND",59,"IB0056_FM6",34,"AYAPEL","CÓRDOBA"
"2","1930","Colombia",6207.6,6207.6,100,76,166,57.6453018188477,NA,1930,"NWS_COL",183,"NWS","Northwest_South_America","AND",356,"IB0056_FM6",39,"PUERTO LIBERTADOR","CÓRDOBA"
"3","1842","Colombia",4391.6,4391.6,100,76,166,57.6453018188477,NA,1842,"NWS_COL",183,"NWS","Northwest_South_America","AND",21,"IB0056_FM6",34,"SUCRE","SUCRE"
"4","1684","Colombia",6893,6893,100,76,166,57.6453018188477,NA,1684,"NWS_COL",183,"NWS","Northwest_South_America","AND",46,"IB0056_FM6",36,"SANTA CATALINA","BOLÍVAR"
"5","1933","Colombia",4171.2,4171.2,100,76,166,57.6453018188477,NA,1933,"NWS_COL",183,"NWS","Northwest_South_America","AND",794,"IB0056_FM6",38,"SANTA ROSA DEL SUR","BOLÍVAR"
"6","1975","Colombia",410.9,410.9,100,76,166,57.6453018188477,NA,1975,"NWS_COL",183,"NWS","Northwest_South_America","AND",517,"IB0056_FM6",38,"CANTAGALLO","BOLÍVAR"
"7","1843","Colombia",7199.3,7199.3,100,76,166,57.6453018188477,NA,1843,"NWS_COL",183,"NWS","Northwest_South_America","AND",75,"IB0056_FM6",34,"ALTOS DEL ROSARIO","BOLÍVAR"
"8","1685","Colombia",4347.5,4347.5,100,76,166,57.6453018188477,NA,1685,"NWS_COL",183,"NWS","Northwest_South_America","AND",36,"IB0056_FM6",34,"PALMAR DE VARELA","ATLANTICO"
"9","2466","Colombia",3989.7,3989.7,100,76,166,57.6453018188477,NA,2466,"AMA_COL",5,"AMA","Amazon","AND",328,"IB0056_FM6",36,"EL RETORNO","GUAVIARE"
"10","2467","Colombia",142.9,142.9,100,76,166,57.6453018188477,NA,2467,"ORI_COL",199,"ORI","Orinoco","AND",301,"IB0056_FM6",36,"EL RETORNO","GUAVIARE"
